Order ID,Order Date,Customer ID,Customer Name,Product ID,Product Name,Category,Sub-Category,Region,State,City,Quantity,Sales,Profit,Discount,Shipping Mode,Return Status
ORD-000001,2024-01-06,CUST-00710,Sai Sharma,PRD-OFF-PAP-144,GlossyPhoto Paper,Office Supplies,Paper,North,Punjab,Amritsar,7,5947.9,-152.51,0.3,First Class,Not Returned
ORD-000002,2025-12-29,CUST-00245,Priya Chatterjee,PRD-FUR-STO-476,StackBox Storage,Furniture,Storage,West,Rajasthan,Udaipur,4,3899.31,89.68,0.2,First Class,Not Returned
ORD-000003,2025-10-26,CUST-00541,Lakshmi Pillai,PRD-FUR-TAB-920,FoldEasy Table,Furniture,Tables,West,Gujarat,Ahmedabad,4,38574.29,1004.42,0.2,First Class,Not Returned
ORD-000004,2023-07-30,CUST-00729,Kiara Shetty,PRD-OFF-STA-185,NoteBook Pack,Office Supplies,Stationery,West,Gujarat,Surat,4,243.4,-14.39,,Standard Class,Not Returned
ORD-000005,2024-03-30,CUST-00462,Rohan Das,PRD-HOM-COO-154,SteelPro Cookware,Home & Kitchen,Cookware,North,Haryana,Gurugram,2,2929.74,444.27,0.15,Same Day,Not Returned
ORD-000006,2023-02-27,CUST-00327,Myra Nair,PRD-HOM-DEC-910,AromaGlow Candle Set,Home & Kitchen,Decor,South,Karnataka,Mysuru,7,18439.76,2623.21,0.2,Second Class,Returned
ORD-000007,2025-08-18,CUST-00460,Divya Chatterjee,PRD-CLO-MEN-362,ClassicFit Shirt,Clothing,Men's Wear,South,Tamil Nadu,Madurai,1,250.5,37.5,0.3,Standard Class,Not Returned
ORD-000008,2024-09-08,CUST-00125,Karthik Rao,PRD-ELE-CAM-912,MirrorLite Camera,Electronics,Cameras,West,Maharashtra,Mumbai,3,12440.26,1239.48,0.2,Second Class,Returned
ORD-000009,2025-11-21,CUST-00589,Arjun Kumar,PRD-ELE-LAP-539,BizBook Air,Electronics,Laptops,South,Telangana,Hyderabad,6,223956.58,30053.09,0.3,Second Class,Returned
ORD-000010,2025-01-08,CUST-00070,Sai Kumar,PRD-HOM-DEC-499,WallArt Frame,Home & Kitchen,Decor,East,West Bengal,Howrah,2,8347.0,705.49,0.1,Standard Class,Returned
ORD-000011,2023-05-19,CUST-00354,Aadhya Sharma,PRD-ELE-MOB-236,iSmart Phone X,Electronics,Mobiles,South,Telangana,Hyderabad,5,21428.84,3107.41,0.2,Same Day,Not Returned
ORD-000012,2024-01-09,CUST-00139,Sanya Menon,PRD-ELE-CAM-400,ClickPro DSLR,Electronics,Cameras,South,Tamil Nadu,Chennai,3,54003.31,7946.78,0.1,Same Day,Not Returned
ORD-000013,2025-08-27,CUST-00260,Neha Shetty,PRD-ELE-LAP-465,BizBook Air,Electronics,Laptops,East,West Bengal,Howrah,3,68878.97,6783.23,0.1,Standard Class,Not Returned
ORD-000014,2025-03-30,CUST-00762,Rahul Iyer,PRD-FUR-STO-291,CabinetPro Unit,Furniture,Storage,North,Uttar Pradesh,Noida,4,53316.13,-4448.44,0.25,Standard Class,Not Returned
ORD-000015,2025-05-31,CUST-00617,Suresh Gupta,PRD-HOM-COO-428,SteelPro Cookware,Home & Kitchen,Cookware,South,Telangana,Warangal,6,29567.4,4656.63,0.1,Standard Class,Not Returned
ORD-000016,2023-12-08,CUST-00707,Diya Gupta,PRD-FUR-STO-844,StackBox Storage,Furniture,Storage,East,Odisha,Bhubaneswar,6,111407.82,14659.78,0.1,Second Class,Not Returned
ORD-000017,2023-04-28,CUST-00077,Lakshmi Gupta,PRD-CLO-FOO-625,ComfortWalk Sandals,Clothing,Footwear,West,Rajasthan,Jaipur,7,6616.09,1225.74,0.0,Standard Class,Not Returned
ORD-000018,2025-06-16,CUST-00036,Divya Singh,PRD-ELE-LAP-470,BizBook Air,Electronics,Laptops,North,Delhi,New Delhi,6,201554.09,17963.38,0.2,Same Day,Not Returned
ORD-000019,2023-06-07,CUST-00588,Lakshmi Chatterjee,PRD-ELE-HEA-421,BassBoost Earbuds,Electronics,Headphones,West,Maharashtra,Mumbai,7,146093.95,24394.96,0.0,First Class,Not Returned
ORD-000020,2025-03-03,CUST-00576,Aditya Shetty,PRD-ELE-HEA-556,StudioSound Headset,Electronics,Headphones,South,Telangana,Warangal,4,133671.26,12806.32,0.05,Standard Class,Not Returned
ORD-000021,2025-07-14,CUST-00177,Rahul Bose,PRD-HOM-APP-929,QuickBlend Mixer,Home & Kitchen,Appliances,West,Gujarat,Surat,4,27356.08,2601.14,0.0,Second Class,Not Returned
ORD-000022,2024-09-06,CUST-00162,Reyansh Das,PRD-OFF-PAP-620,GlossyPhoto Paper,Office Supplies,Paper,South,Tamil Nadu,Chennai,6,10356.29,2797.41,0.05,First Class,Returned
ORD-000023,2025-01-25,CUST-00479,Kiara Bose,PRD-OFF-PAP-167,PrintReady A4 Ream,Office Supplies,Paper,South,Kerala,Thiruvananthapuram,3,5072.9,1469.5,0.15,First Class,Not Returned
ORD-000024,2024-10-11,CUST-00658,Divya Bose,PRD-ELE-CAM-629,MirrorLite Camera,Electronics,Cameras,North,Punjab,Ludhiana,6,295932.42,52578.46,0.15,Second Class,Not Returned
ORD-000025,2023-09-12,CUST-00531,,PRD-ELE-LAP-430,GamerEdge Laptop,Electronics,Laptops,East,West Bengal,Howrah,2,83785.49,7383.56,0.25,First Class,Not Returned
ORD-000026,2024-07-16,CUST-00129,Neha Bose,PRD-CLO-MEN-756,FormalWear Blazer,Clothing,Men's Wear,South,Tamil Nadu,Chennai,6,13837.47,3118.68,0.3,Second Class,Not Returned
ORD-000027,2023-03-26,CUST-00030,Diya Reddy,PRD-ELE-ACC-766,PowerBank 20000mAh,Electronics,Accessories,South,Kerala,Kochi,6,229972.44,31446.9,0.2,First Class,Not Returned
ORD-000028,2024-09-10,CUST-00495,Rohan Patel,PRD-ELE-CAM-564,ActionCam 4K,Electronics,Cameras,South,Karnataka,Bengaluru,2,82777.53,8194.78,,Standard Class,Not Returned
ORD-000029,2024-11-27,CUST-00622,Ishaan Rao,PRD-ELE-HEA-981,StudioSound Headset,Electronics,Headphones,North,Uttar Pradesh,Lucknow,6,20841.61,4092.83,0.1,Second Class,Not Returned
